Número de Fragmento,Tiempo del Fragmento,Texto,Embedding Asociado,Distancia,crying,glass_breaking,gun_shot,people_talking,screams
1,"0,2","Porque el 22, me preguntaba si puedo.",¿Por qué me haces esto?,0.4368,93.45,0.01,0.14,6.11,0.28
2,"2,4",a ver a Henry ese viernes.,te voy a joder,0.4454,47.77,0.01,0.06,52.07,0.09
3,"4,6","El 22, o sea que el 22...",Lo que sea pero aléjate,0.3643,94.13,0.01,0.05,4.65,1.15
4,"6,8",Y uno...,Eres quien está mal aquí,0.3887,51.25,0.02,2.31,46.01,0.41
5,"8,10","Tenemos planes, vamos a ir.",debe ser asesinado,0.4912,85.14,0.02,0.25,14.06,0.53
6,"10,12","Algo en el lacma, cosas primas.",Lo que sea pero aléjate,0.3827,52.5,0.05,0.76,46.14,0.55
7,"12,14","¿Podrías cambiarlo, por favor?",camionero,0.3474,83.61,0.41,5.36,10.17,0.46
8,"14,16",¿Para que lo vea?,¿Por qué me haces esto?,0.2114,51.21,0.06,2.61,45.89,0.23
9,"16,18",Solo es una noche y lo esperé con ansia.,te voy a sacar al concha de tu madre,0.4088,42.42,0.07,1.57,55.82,0.12
10,"18,20","Es mi noche, Charlie.",te voy a sacar al concha de tu madre,0.4215,74.03,0.07,2.95,22.67,0.28
11,"20,22",negociamos? Entiendo bien.,eres una negra ,0.3659,21.24,0.05,3.19,75.41,0.11
12,"22,24",What the? You're dead.,rata,0.7970,76.69,0.01,2.92,20.14,0.24
13,"24,26","Nada, solo te pido que seas...",Lo que sea pero aléjate,0.2842,89.36,0.05,1.45,8.38,0.76
14,"26,28","Yo soy flexible. Soy flexible, tú vas y vienes.",me llegas al pincho,0.4831,51.13,0.01,0.23,48.51,0.12
15,"28,30",si yo hago ajustes por tu itinerario esta noche.,¿Por qué me haces esto?,0.4402,7.14,0.0,0.05,92.8,0.01
16,"30,32","tenemos entradas para el momento. No es solo esta noche, pero está bien.",Esto no puede estar pasando,0.3955,12.97,0.01,0.43,86.48,0.11
17,"32,34",La maestra de Henry quiere ver.,cagon de mierda,0.4077,49.09,0.01,1.12,49.59,0.2
18,"34,36",de vernos. ¿Hablas de su maestra en Los Ángeles?,te vas a la mierda,0.3769,34.79,0.01,3.98,61.14,0.08
19,"36,38",¿Podrías contestar el e-mail?,¿Por qué me haces esto?,0.4492,54.3,0.0,0.05,45.48,0.17
20,"38,40",¿Para concretar la fecha?,te voy a sacar al concha de tu madre,0.3277,24.68,0.02,0.72,74.48,0.09
21,"40,42",He estado distraído.,voy a dispararte,0.3672,27.22,0.15,15.01,57.36,0.27
22,"42,44","Sí, lo entiendo.",No quiero pelear,0.3710,12.45,0.02,3.17,84.34,0.02
23,"44,46",de descartar cualquier cosa con esta reunión.,No voy a dejar que me destruyas,0.4141,22.03,0.04,5.21,72.47,0.26
24,"46,48","Creo que solo es ansioso, creo que...",Eres quien está mal aquí,0.3402,8.4,0.0,0.11,91.49,0.0
25,"48,50",Que quiere todo en el momento.,Eres quien está mal aquí,0.3069,50.61,0.02,2.73,46.55,0.09
26,"50,52",Que es fuera de serie en matemáticas.,Solo quiero que esto termine,0.4043,10.92,0.0,0.66,88.4,0.02
27,"52,54",Se da por vencido muy rápido cuando las cosas no le salen bien.,No soy lo que dices,0.4266,17.6,0.0,0.1,82.27,0.04
28,"54,56",son fáciles. Es como nosotros. Te saludo.,Por favor no me lastimes,0.4486,18.46,0.0,0.77,80.76,0.02
29,"56,58",Es muy malo en Monopoly.,Eres quien está mal aquí,0.3770,36.4,0.0,0.63,62.91,0.06
30,"58,60",porque quiere ahorrar todo su dinero.,quiero hacerte daño,0.3491,8.24,0.0,0.2,91.54,0.02
31,"60,62",Hehehehe,aweonao,0.7015,16.94,0.12,14.13,68.67,0.13
32,"62,64",Thanks for watching!,No quiero problemas,0.7988,6.86,0.02,35.85,57.25,0.02
33,"64,66",,,,7.67,0.01,27.16,65.14,0.02
34,"66,68","... Léo, qu'est-ce que t'as ?",te asesinaré,0.6089,35.66,0.02,18.96,45.25,0.09
35,"68,70",Hay que hablar.,Hablaremos después ¿sí?,0.2986,19.55,0.49,45.02,34.25,0.69
36,"70,72",Siento que las cosas han ido demasiado lejos.,Lo que sea pero aléjate,0.3797,23.24,0.01,1.37,75.31,0.06
37,"72,74",Ajá. Mi mamá...,te vas a la mierda,0.4768,4.46,0.01,4.03,91.44,0.06
38,"74,76",pidió un préstamo sobre la casa para pagarle a...,eres una prostituta,0.4195,8.08,0.0,0.29,91.59,0.03
39,"76,78",¿Pedí que yo pagaba Nora?,No quiero pelear,0.3997,35.59,0.03,14.71,49.58,0.09
40,"78,80",Tú pagas el 30% de Nora.,No quiero pelear,0.4458,15.34,0.01,1.65,82.95,0.06
41,"80,82","También me estoy quedando sin un clavo, si de algo te sirve.",eres mi esclavo,0.3845,5.2,0.0,0.3,94.49,0.01
42,"82,84",Acepté a dirigir dos obras de mierda.,te voy a a hacer mierda,0.3714,61.14,0.01,2.18,36.6,0.07
43,"84,86",y nos podemos olvidar de ahorrar para la humanidad.,Hablaremos después ¿sí?,0.4294,8.86,0.0,0.5,90.62,0.02
44,"86,88",de la Universidad de Henry.,cagon de mierda,0.5360,20.48,0.02,0.7,78.69,0.1
45,"88,90",hasta ahora hemos logrado mantener al,eres una basura,0.4637,38.26,0.01,0.26,61.15,0.32
46,"90,92",un poco a Henry y esto cambiará todo.,Eres quien está mal aquí,0.4213,2.3,0.0,0.26,97.44,0.0
47,"92,94",,,,5.42,0.01,1.98,92.58,0.02
48,"94,96",protegerlo. Estoy de acuerdo.,Por favor para,0.3883,14.89,0.04,2.19,82.84,0.04
49,"96,98",dijo que el evaluador irá a,Eres quien está mal aquí,0.3671,2.13,0.0,0.04,97.83,0.0
50,"98,100",en nuestras casas.,te vas a la mierda,0.4817,14.43,0.01,0.26,85.19,0.11
51,"100,102","que enríe además de a nosotros, a nuestras familias.",Eres quien está mal aquí,0.4162,29.49,0.1,1.94,67.51,0.96
52,"102,104","nuestros amigos, familiares.",maten a los blancos,0.3896,6.08,0.0,0.87,93.02,0.03
53,"104,106",enemigos y nos,Eres quien está mal aquí,0.3556,0.54,0.0,0.01,99.45,0.0
54,"106,108",,,,0.76,0.0,0.03,99.2,0.0
55,"108,110",Suena horrible. Lo sé.,hijo de puta,0.4740,26.38,0.33,42.71,29.79,0.78
56,"110,112",Siento que si alguien me observa en un día...,Solo quiero que esto termine,0.3622,16.84,0.0,0.04,83.07,0.05
57,"112,114",cualquiera no me darían la custodia.,te voy a sacar al concha de tu madre,0.3677,7.08,0.0,0.1,92.79,0.03
58,"114,116",ご視聴ありがとうございました。,Alguien ayúdeme,0.7367,5.99,0.03,39.44,54.51,0.04
59,"116,118",Esa fue una broma.,eres una basura,0.3325,24.33,0.11,42.94,32.22,0.4
60,"118,120",¿Eh? Yo siento lo mismo. Sí.,¿Por qué me haces esto?,0.3326,32.56,0.05,2.79,64.53,0.08
