Número de Fragmento,Tiempo del Fragmento,Texto,Embedding Asociado,Distancia,crying,glass_breaking,gun_shot,people_talking,screams
1,"0,2","Porque el 22, me preguntaba si puedo.",¿Por qué me haces esto?,0.4368,99.8,0.01,0.05,0.05,0.08
2,"2,4",a ver a Henry ese viernes.,te voy a joder,0.4454,91.57,0.0,0.07,8.29,0.07
3,"4,6","El 22, o sea que el 22...",Lo que sea pero aléjate,0.3643,97.43,0.04,0.42,1.73,0.38
4,"6,8",Y uno...,Eres quien está mal aquí,0.3887,96.91,0.3,0.99,0.91,0.89
5,"8,10","Tenemos planes, vamos a ir.",debe ser asesinado,0.4912,97.75,0.05,0.61,1.16,0.43
6,"10,12","Algo en el lacma, cosas primas.",Lo que sea pero aléjate,0.3827,93.45,0.04,0.62,5.33,0.56
7,"12,14","¿Podrías cambiarlo, por favor?",camionero,0.3474,91.55,1.98,6.34,0.03,0.1
8,"14,16",¿Para que lo vea?,¿Por qué me haces esto?,0.2114,99.22,0.02,0.22,0.39,0.15
9,"16,18",Solo es una noche y lo esperé con ansia.,te voy a sacar al concha de tu madre,0.4088,99.3,0.0,0.24,0.44,0.02
10,"18,20","Es mi noche, Charlie.",te voy a sacar al concha de tu madre,0.4215,98.99,0.07,0.71,0.16,0.06
11,"20,22",negociamos? Entiendo bien.,eres una negra ,0.3659,95.46,0.19,1.63,2.31,0.41
12,"22,24",What the? You're dead.,desahuevate,0.7949,90.89,0.07,4.21,4.49,0.34
13,"24,26","Nada, solo te pido que seas...",Lo que sea pero aléjate,0.2842,96.86,0.15,1.19,1.47,0.33
14,"26,28","Yo soy flexible. Soy flexible, tú vas y vienes.",me llegas al pincho,0.4831,10.49,0.0,0.11,89.39,0.01
15,"28,30",si yo hago ajustes por tu itinerario esta noche.,¿Por qué me haces esto?,0.4402,2.92,0.0,0.06,97.01,0.01
16,"30,32","tenemos entradas para el momento. No es solo esta noche, pero está bien.",Esto no puede estar pasando,0.3955,0.51,0.0,1.23,98.26,0.0
17,"32,34",La maestra de Henry quiere ver.,cagon de mierda,0.4077,0.71,0.0,0.09,99.2,0.0
18,"34,36",de vernos. ¿Hablas de su maestra en Los Ángeles?,te vas a la mierda,0.3769,43.78,0.03,27.8,28.32,0.08
19,"36,38",¿Podrías contestar el e-mail?,¿Por qué me haces esto?,0.4492,0.07,0.0,0.0,99.93,0.0
20,"38,40",¿Para concretar la fecha?,te voy a sacar al concha de tu madre,0.3277,0.41,0.0,0.46,99.13,0.0
21,"40,42",He estado distraído.,voy a dispararte,0.3672,19.37,0.06,14.86,65.27,0.44
22,"42,44","Sí, lo entiendo.",No quiero pelear,0.3710,2.21,0.0,8.18,89.61,0.0
23,"44,46",de descartar cualquier cosa con esta reunión.,No voy a dejar que me destruyas,0.4141,1.63,0.0,3.24,95.1,0.03
24,"46,48","Creo que solo es ansioso, creo que...",Eres quien está mal aquí,0.3402,56.61,0.0,0.23,43.14,0.01
25,"48,50",Que quiere todo en el momento.,Eres quien está mal aquí,0.3069,54.05,0.01,3.78,42.1,0.06
26,"50,52",Que es fuera de serie en matemáticas.,Solo quiero que esto termine,0.4043,5.6,0.0,0.6,93.79,0.0
27,"52,54",Se da por vencido muy rápido cuando las cosas no le salen bien.,No soy lo que dices,0.4266,0.13,0.0,0.02,99.85,0.0
28,"54,56",son fáciles. Es como nosotros. Te saludo.,Por favor no me lastimes,0.4486,4.25,0.0,0.68,95.07,0.0
29,"56,58",Es muy malo en Monopoly.,Eres quien está mal aquí,0.3770,0.03,0.0,0.03,99.95,0.0
30,"58,60",porque quiere ahorrar todo su dinero.,quiero hacerte daño,0.3491,0.39,0.0,0.22,99.39,0.0
31,"60,62",Hehehehe,poto,0.7467,12.87,0.05,70.53,16.52,0.03
32,"62,64",Thanks for watching!,No quiero problemas,0.7988,0.45,0.0,88.42,11.13,0.0
33,"64,66",,,,1.34,0.0,89.51,9.15,0.0
34,"66,68","... Léo, qu'est-ce que t'as ?",te asesinaré,0.6089,32.12,0.01,58.01,9.84,0.01
35,"68,70",Hay que hablar.,Hablaremos después ¿sí?,0.2986,3.16,0.91,92.04,3.74,0.15
36,"70,72",Siento que las cosas han ido demasiado lejos.,Lo que sea pero aléjate,0.3797,18.18,0.0,1.3,80.51,0.01
37,"72,74",Ajá. Mi mamá...,te vas a la mierda,0.4768,4.08,0.0,3.07,92.84,0.02
38,"74,76",pidió un préstamo sobre la casa para pagarle a...,eres una prostituta,0.4195,0.03,0.0,0.08,99.88,0.0
39,"76,78",¿Pedí que yo pagaba Nora?,No quiero pelear,0.3997,11.88,0.02,18.18,69.81,0.12
40,"78,80",Tú pagas el 30% de Nora.,No quiero pelear,0.4458,0.04,0.0,0.14,99.83,0.0
41,"80,82","También me estoy quedando sin un clavo, si de algo te sirve.",eres mi esclavo,0.3845,22.79,0.0,2.21,74.98,0.02
42,"82,84",Acepté a dirigir dos obras de mierda.,te voy a a hacer mierda,0.3714,85.48,0.05,13.07,1.38,0.02
