Número de Fragmento,Tiempo del Fragmento,Texto,Embedding Asociado,Distancia,crying,glass_breaking,gun_shot,people_talking,screams
1,"0,2",টাকাটা দেয় থোড বানো,basura,0.5931,51.39,0.05,10.94,35.3,2.32
2,"2,4",romandam.,culiao,0.5953,9.25,0.08,53.21,37.03,0.43
3,"4,6","Oh, Mom.",ahueonao,0.7344,13.54,0.08,60.28,25.95,0.15
4,"6,8",Take off.,puto,0.7085,20.5,0.09,62.57,16.38,0.46
5,"8,10",Come on.,puto,0.7573,14.21,0.11,63.69,21.47,0.51
6,"10,12",ご視聴ありがとうございました,Alguien ayúdeme,0.7367,6.64,0.04,17.25,75.97,0.1
7,"12,14","From on down, take a",ayuda,0.7491,0.3,0.0,0.16,99.54,0.0
8,"14,16","Ah, demuestra que el chico...",No quiero pelear,0.3745,15.03,0.02,6.51,77.34,1.11
9,"16,18",está bien y le diré a mi equipo que te paguen.,Eres quien está mal aquí,0.3446,0.9,0.0,0.28,98.82,0.0
10,"18,20",Thank you.,aweonao,0.7085,38.85,0.05,30.04,30.3,0.75
11,"20,22","Thank you, thank you, thank you.",No quiero problemas,0.7601,35.51,0.27,29.22,34.18,0.81
12,"22,24",Ik denk het zit erin.,eres gay,0.5954,36.5,0.53,9.33,51.65,1.98
13,"24,26",맛있게 잘 먹었습니다.,te voy a joder,0.7176,17.56,0.14,40.14,41.77,0.39
14,"26,28",Thank you for watching my video.,No quiero problemas,0.8126,10.35,0.05,18.62,70.86,0.12
15,"28,30",,,,50.49,0.43,20.41,20.29,8.38
16,"30,32",Thanks for watching!,No quiero problemas,0.7988,31.03,0.41,10.4,54.82,3.33
17,"32,34",Sigh,aweonao,0.7246,34.09,0.39,22.53,38.45,4.54
18,"34,36",Das war's für heute und wir sehen uns beim nächsten Mal.,nazi,0.7411,10.66,0.21,84.54,3.5,1.09
19,"36,38",que aparecen ser profesionales ocupados.,Eres quien está mal aquí,0.4664,3.72,0.0,0.7,95.58,0.0
20,"38,40","basta de estupideces y vayamos al grano, ¿sí?",Hablaremos después ¿sí?,0.3566,6.05,0.0,0.82,93.11,0.01
21,"40,42",Thank you.,aweonao,0.7085,8.05,0.49,76.09,14.14,1.23
22,"42,44",見てくれてありがとう:),eres una basura,0.7577,5.32,0.03,21.56,72.99,0.1
23,"44,46",Okay.,gay,0.7426,16.27,0.25,64.81,17.62,1.04
24,"46,48",ご視聴ありがとうございました,Alguien ayúdeme,0.7367,7.7,0.05,13.5,78.59,0.15
25,"48,50",ご覧いただきありがとうございます。良い一日を!,eres una basura,0.7526,25.01,0.21,22.19,51.5,1.09
26,"50,52",,,,25.56,0.08,18.57,55.48,0.31
27,"52,54",,,,16.05,0.43,58.46,24.38,0.68
28,"54,56",고맙습니다.,Tengo miedo,0.7222,8.91,0.07,22.73,68.13,0.15
29,"56,58",Oh,orto,0.7404,61.23,0.29,31.4,3.88,3.21
30,"58,60",,,,67.97,0.25,5.46,23.47,2.85
31,"60,62",不合适,quemero,0.6920,75.18,0.06,2.19,21.81,0.76
32,"62,64","Pô, não vou fazer o abdômen. É que nem...",eres una negra ,0.5775,47.76,0.02,0.93,51.03,0.26
33,"64,66","Oye hombre, ¿estás loco o qué?",¿Por qué me haces esto?,0.3384,21.31,0.0,0.32,78.35,0.02
34,"66,68",Tiene el cargador.,No quiero morir,0.4027,30.95,0.03,27.68,41.14,0.19
35,"68,70",Boom!,aweonao,0.6845,36.93,0.18,39.39,22.85,0.66
36,"70,72",Mmm. Mmm. Mmm.,mamon,0.6510,29.57,0.02,11.92,58.31,0.18
37,"72,74",끝,gay,0.6851,32.0,0.27,39.15,27.49,1.09
38,"74,76",ご視聴ありがとうございました,Alguien ayúdeme,0.7367,10.11,0.1,20.77,68.71,0.32
39,"76,78",Ya no hay que hablar.,Hablaremos después ¿sí?,0.2948,32.42,0.56,32.42,30.62,3.98
40,"78,80",Algo que no sé.,Lo que sea pero aléjate,0.3093,19.25,0.14,73.42,6.27,0.91
41,"80,82",si interesa.,quemero,0.4600,32.63,0.67,29.65,33.9,3.15
42,"82,84",Thank you for watching!,No quiero problemas,0.7926,22.8,0.03,13.39,63.56,0.22
43,"84,86",,,,11.07,0.1,42.14,46.49,0.2
44,"86,88",by bwd6,drogo,0.7429,18.66,0.14,10.77,70.18,0.25
45,"88,90",¿verdad? por eso ,¿Por qué me haces esto?,0.2714,24.85,0.02,31.1,43.92,0.12
46,"90,92",¿Usted le gritó?,me llegas al pincho,0.3729,16.13,0.03,7.16,76.41,0.27
47,"92,94",ah,ahueonao,0.7544,3.36,0.01,4.22,92.39,0.03
48,"94,96",¡Qué chungo!,Tengo miedo,0.4656,3.63,0.0,2.34,94.02,0.0
49,"96,98",Buenas noches.,maten a los blancos,0.3986,61.24,0.01,11.17,27.13,0.44
50,"98,100",NOOO! NOOO!,nono,0.6280,21.55,0.01,36.59,41.41,0.45
51,"100,102",,,,26.22,0.02,8.74,64.83,0.19
52,"102,104",,,,9.17,0.02,17.05,73.71,0.06
53,"104,106",Thanks for watching!,No quiero problemas,0.7988,18.42,0.01,59.59,21.78,0.2
54,"106,108",ご視聴ありがとうございました,Alguien ayúdeme,0.7367,11.31,0.02,57.41,31.19,0.08
55,"108,110",Deve ter.,desahuevate,0.4995,10.82,0.01,8.55,80.6,0.02
56,"110,112",Y diles.,Eres quien está mal aquí,0.5070,21.99,0.03,24.74,53.14,0.1
57,"112,114","que paguen, ¿sí o no?",No quiero pelear,0.3502,13.6,0.02,29.8,56.51,0.07
58,"114,116",Thank you for watching!,No quiero problemas,0.7926,15.17,0.01,21.09,63.65,0.08
59,"116,118",¿Te meteré esto?,No merezco esto,0.3986,34.44,0.04,10.48,54.93,0.11
60,"118,120",,,,24.71,0.03,38.72,36.33,0.21
61,"120,122",culo y le volaré.,te romperé el culo,0.3974,35.18,0.05,41.17,23.18,0.42
62,"122,124",en las tripas.,te vas a la mierda,0.3791,31.5,0.27,29.19,37.57,1.48
63,"124,126",,,,8.87,0.01,13.67,77.39,0.06
64,"126,128",============================================,chupame la raja,0.7080,13.19,0.01,17.48,69.25,0.07
65,"128,130",НАПРЯЖЁННАЯ МУЗЫКА,haré una masacre,0.6157,11.65,0.03,28.11,60.07,0.13
