Número de Fragmento,Tiempo del Fragmento,Texto,Embedding Asociado,Distancia,crying,glass_breaking,gun_shot,people_talking,screams
1,"0,2",La coca de Pablo López.,boton de cuero,0.4114,0.05,0.0,0.17,99.77,0.0
2,"2,4",no paraba de llegar.,llorar como una perra,0.3410,0.01,0.0,0.2,99.79,0.0
3,"4,6",Pasó mucho tiempo para que Miami se convirtiera en un parque.,Lo que sea pero aléjate,0.4899,0.01,0.0,0.1,99.9,0.0
4,"6,8","a la vista, y lo digo en serio.",Lo que sea pero aléjate,0.3539,0.17,0.0,0.43,99.4,0.0
5,"8,10",Era como si toda la ciudad fuera tuya.,Eres quien está mal aquí,0.4319,0.02,0.0,0.05,99.93,0.0
6,"10,12",de un lado a otro para conseguir esta mierda.,te vas a la mierda,0.2988,0.01,0.0,0.06,99.94,0.0
7,"12,14","¡Nos vemos en el próximo video, chau!",eres mi esclavo,0.4645,15.83,1.31,5.98,13.32,63.57
8,"14,16",con el libero.,te voy a sacar al concha de tu madre,0.3888,0.31,0.0,2.42,97.27,0.0
9,"16,18",Vino la violenza.,te daré un tiro,0.5295,0.01,0.0,0.29,99.7,0.0
10,"18,20",,,,0.04,0.0,0.53,99.43,0.0
11,"20,22",Los hippies fueron reemplazados por colombianos,Eres quien está mal aquí,0.4751,0.0,0.0,0.01,99.98,0.0
12,"22,24",mundiales y estos no llevan,maten a los blancos,0.3670,0.01,0.0,0.04,99.94,0.0
13,"24,26","Come on, Tank Class.",trolo,0.7269,15.54,0.84,4.32,78.03,1.27
14,"26,28",,,,3.05,0.19,4.46,92.21,0.09
15,"28,30",,,,9.51,0.42,7.38,82.2,0.49
16,"30,32",,,,0.56,0.07,30.35,69.01,0.01
17,"32,34",♪♪,gay,0.6851,0.05,0.0,32.99,66.96,0.0
18,"34,36",Thanks for watching!,No quiero problemas,0.7988,0.07,0.0,0.87,99.06,0.0
19,"36,38",Thank you for watching.,Tengo miedo,0.7773,0.08,0.0,0.09,99.82,0.0
20,"38,40",Thank you for watching.,Tengo miedo,0.7773,0.02,0.0,1.04,98.95,0.0
21,"40,42",Thank you for watching.,Tengo miedo,0.7773,1.67,0.0,45.07,53.26,0.01
