Número de Fragmento,Tiempo del Fragmento,Texto,Embedding Asociado,Distancia,crying,glass_breaking,gun_shot,people_talking,screams
1,"0,2",Oh,orto,0.7404,10.08,0.01,2.49,87.32,0.1
2,"2,4",armados. El anfitrión de edad mediana se levanta.,Eres quien está mal aquí,0.4072,3.15,0.0,0.72,96.11,0.01
3,"4,6",y dice que lo trae por aquí.,Eres quien está mal aquí,0.2679,5.45,0.02,2.67,91.82,0.04
4,"6,8",And see your faces at the surface.,No me toques,0.8230,7.74,0.06,2.56,89.48,0.16
5,"8,10",That jelly looks fun.,jodete,0.7648,16.15,0.32,8.25,74.67,0.61
6,"10,12",,,,16.65,0.62,12.05,68.43,2.25
7,"12,14",Cu caracea te-am iesit.,cajeta,0.5069,12.13,0.08,8.4,79.29,0.1
8,"14,16",que las esmeraldas hubieran endurecido de más.,Eres quien está mal aquí,0.4215,3.46,0.01,0.68,95.85,0.01
9,"16,18",ma sia la caccia,cagon de mierda,0.4074,14.63,0.13,3.77,81.27,0.21
10,"18,20",Así que se decidió por sí mismo.,quemero,0.3619,5.82,0.0,0.57,93.61,0.01
11,"20,22",su tercera opción un hombre,Solo quiero que esto termine,0.3503,7.61,0.03,0.9,91.42,0.04
