Número de Fragmento,Tiempo del Fragmento,Texto,Embedding Asociado,Distancia,crying,glass_breaking,gun_shot,people_talking,screams
1,"0,2",Oh,gay,0.7491,0.14,0.0,0.07,99.79,0.0
2,"2,4",armados. El anfitrión de edad mediana se levanta.,Eres quien está mal aquí,0.4072,0.01,0.0,0.02,99.97,0.0
3,"4,6",y dice que lo trae por aquí.,Eres quien está mal aquí,0.2679,0.51,0.0,0.28,99.21,0.0
4,"6,8",And see your faces at the surface.,No me toques,0.8230,0.15,0.0,0.05,99.8,0.0
5,"8,10",That jelly looks fun.,jodete,0.7648,1.15,0.02,4.53,94.28,0.03
6,"10,12",,,,1.35,0.01,2.39,96.24,0.02
7,"12,14",Cu caracea te-am iesit.,cajeta,0.5069,1.81,0.0,2.04,96.15,0.0
8,"14,16",que las esmeraldas hubieran endurecido de más.,Eres quien está mal aquí,0.4215,0.01,0.0,0.0,99.98,0.0
9,"16,18",Ma storage arbito. Sennò c'ho tantissimo Spencer cheро ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■,caremuerto,0.6333,2.74,0.02,0.44,96.79,0.02
10,"18,20",Así que se decidió por sí mismo.,quemero,0.3619,0.1,0.0,0.04,99.87,0.0
11,"20,22",su tercera opción un hombre,Solo quiero que esto termine,0.3503,0.19,0.0,0.0,99.81,0.0
